Ad ID ,Category ,Locations ,Car Makes,Car Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,Link,Title,Price,Year Used
9539303,Cars for Sale,Phnom Penh,Toyota,Highlander,2003.0,Plate Number,Used,Sports,Petrol,Auto,Black,https://www.khmer24.com/en/cars/highlander-%E1%9E%86%E1%9E%93-2003-%E1%9E%98%E1%9E%9F%E1%9E%93-4-%E1%9E%94%E1%9E%84-1-%E1%9E%96%E1%9E%8E-%E1%9E%81%E1%9E%98-adid-9539303.html,Highlander ឆ្នាំ 2003 ម៉ាសុីន 4 ប៉ុង 1 ពណ័ ខ្មៅ,"$14,000 ",20.0
9529408,Cars for Sale,Phnom Penh,Lexus,NX,2015.0,Tax Paper,Used,,Petrol,Auto,White,https://www.khmer24.com/en/cars/lexus-nx200t-2015-%E1%9E%82%E1%9E%873-adid-9529408.html,Lexus NX200T 2015 គុជ3,"$39,500 ",8.0
9540392,Cars for Sale,Phnom Penh,Toyota,Land Cruiser,2022.0,Plate Number,Used,SUV,Petrol,Auto,Black,https://www.khmer24.com/en/cars/%E1%9E%9B%E1%9E%80-land-cruiser-2022-adid-9540392.html,លក់ Land Cruiser 2022,"$155,000 ",1.0
9524160,Cars for Sale,Phnom Penh,Lexus,RX330,2004.0,Plate Number,Used,SUV,Petrol,Auto,Gray,https://www.khmer24.com/en/cars/lexus-rx330-%E1%9E%80%E1%9E%93%E1%9E%84%E1%9E%9B%E1%9E%842004-%E1%9E%96%E1%9E%80%E1%9E%80%E1%9E%8E%E1%9E%8A%E1%9E%9Bfull-adid-9524160.html,Lexus  RX330 ក្នុងលឿង2004 ពាក់កណ្ដាលfull,"$20,500 ",19.0
9480308,Cars for Sale,Phnom Penh,Lexus,NX,2015.0,Tax Paper,Used,,Petrol,Auto,White,https://www.khmer24.com/en/cars/lexus-nx200t-2015-original-f-sport-full-options-7-buttons-51999-adid-9480308.html,"Lexus NX200T 2015 Original F-Sport Full Options, 7 Buttons $51,999","$51,999 ",8.0
9252973,Cars for Sale,Phnom Penh,Hyundai,Truck,2005.0,Plate Number,Used,Other,Petrol,Manual,White,https://www.khmer24.com/en/cars/truck-for-sell-adid-9252973.html,Truck for sell,"$14,000 ",18.0
9537695,Cars for Sale,Phnom Penh,Toyota,Vitz,2013.0,Tax Paper,Used,Sedan,Petrol,Auto,Blue,https://www.khmer24.com/en/cars/toyota-vitzjapan-adid-9537695.html,Toyota vitz(japan),"$9,800 ",10.0
9547812,Cars for Sale,Phnom Penh,Land Rover,Range Rover Evoque,2013.0,Plate Number,Used,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/range-rover-evoqe-2013-full-option-adid-9547812.html,Range Rover evoqe 2013 Full option,"$23,500 ",10.0
9446141,Cars for Sale,Kampong Speu,Toyota,Prius,2006.0,Plate Number,Used,,,Auto,Beige,https://www.khmer24.com/en/cars/06-hfull-%E1%9E%A1%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F%E1%9E%98%E1%9E%85%E1%9E%9F%E1%9E%8A%E1%9E%98-%E1%9E%98%E1%9E%93%E1%9E%9F%E1%9E%9C%E1%9E%87%E1%9E%91%E1%9E%80%E1%9E%90%E1%9E%93%E1%9E%9F%E1%9E%93%E1%9E%98%E1%9E%99%E1%9E%87-%E1%9E%98%E1%9E%93%E1%9E%90%E1%9E%93%E1%9E%9A%E1%9E%9F%E1%9E%93-adid-9446141.html,06 hfull ឡានស្អាតម្ចាស់ដើម មិនសូវជិះទឹកថ្នាំស៊ីនមួយជុំ មានថ្នេរស៊ីន,"$10,700 ",17.0
9232156,Cars for Sale,Phnom Penh,Lexus,LX470,2002.0,Plate Number,Used,,,,White,https://www.khmer24.com/en/cars/lexus-470-adid-9232156.html,Lexus 470,"$19,800 ",21.0
