Car ID,Title,Price,Category,Brand,Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,District,City
11667640,Corolla DX ABS ទឹមរៀបចំហើយថ្មីៗ,3000,Cars for Sale,Toyota,Corolla,1996,Plate Number,Used,NaN,NaN,Auto,Gold,Mean Chey,Phnom Penh
11648490,Highlander 2005 V 4 ប៉ុង១ អត់បុក ខ្ចី,15800,Cars for Sale,Toyota,Highlander,2005,Plate Number,Used,NaN,Petrol,Auto,Silver,Mean Chey,Phnom Penh
11668520,camry99Le abs ឡានស្អាត លេងយ៉ានគុជលក់ 4600$$,4600,Cars for Sale,Toyota,Camry,1999,Tax Paper,New,NaN,Petrol,Auto,Black,Chamkar Mon,Phnom Penh
11538667,✅Camry LE05ABS កៅឥចុចក្នុងលឿង,12000,Cars for Sale,Toyota,Camry,2005,Plate Number,New,Sedan,Diesel,Auto,White,Krong Siem Reab,Siem Reap
11614209,Toyota Alphard,26500,Cars for Sale,Toyota,Alphard,2010,Plate Number,Used,NaN,Petrol,Auto,Black,Krong Ta Khmau,Kandal
11668433,07 full option ឡានអត់បុក អត់ប៉ះ,10900,Cars for Sale,Toyota,Prius,2007,Plate Number,Used,Sedan,Petrol,Auto,Gray,Mean Chey,Phnom Penh
11668573,លក់TUNDRAឆ្នាំ07ប៉ុង2រំលោះសុតរឺប្តូរទ្បានបានគ្រប់ខេត្ត,13900,Cars for Sale,Toyota,Tundra,2007,Plate Number,Used,Pickup,LPG,Auto,Silver,Mean Chey,Phnom Penh
11663391,Prius 2008 Full Turing,12900,Cars for Sale,Toyota,Prius,2008,Tax Paper,New,NaN,NaN,NaN,Gold,Saensokh,Phnom Penh
11668534,"Camry 2007, hybrid full option បើកដំបូល",16200,Cars for Sale,Toyota,Camry,2007,Plate Number,New,Other,Petrol,Auto,White,Mean Chey,Phnom Penh
11667133,Toyota Prius 2010 Opt4 Sola តំលៃចចារបាន,20500,Cars for Sale,Toyota,Prius,2010,Tax Paper,New,Hatchback,Hybrid,Auto,White,Saensokh,Phnom Penh
11628779,01 V6 P1 Limited,14900,Cars for Sale,Toyota,Highlander,2001,Plate Number,Used,Sedan,Petrol,Auto,White,Dangkao,Phnom Penh
11589569,ឡានលក់,12900,Cars for Sale,Toyota,Prius,2008,Tax Paper,New,NaN,NaN,Auto,Gold,Saensokh,Phnom Penh
11627964,Toyota fortuner 2015,27000,Cars for Sale,Toyota,Fortuner,2015,Plate Number,New,SUV,Diesel,Auto,Silver,Saensokh,Phnom Penh
11662790,Land Cruiser V8ម៉ាស៊ូត​VIP 2013 ឡេីង​ស៊េរី​ទាំង​2020 ម្ចាស់​ដេីម​ទី​មួយ​,59500,Cars for Sale,Toyota,Land Cruiser,2013,Plate Number,Used,SUV,Diesel,Auto,Black,Tuol Kouk,Phnom Penh
